time,temperature_2m,relative_humidity_2m,weathercode,city
2025-11-20T13:00,24.0,56,3,Huye
2025-11-20T14:00,22.5,69,80,Huye
2025-11-20T15:00,21.5,71,80,Huye
2025-11-20T16:00,19.9,80,95,Huye
2025-11-20T17:00,19.4,85,80,Huye
2025-11-20T18:00,18.6,87,95,Huye
2025-11-20T19:00,18.0,89,80,Huye
2025-11-20T20:00,17.9,90,3,Huye
2025-11-20T21:00,17.7,91,3,Huye
2025-11-20T22:00,17.6,91,3,Huye
2025-11-20T23:00,17.4,92,3,Huye
